compound_id,compound_name,smiles,target_pH,reference_charge,reference_source,pka_values,ionizable_group,drug_or_fragment_class,docking_relevance,include_in_validation,comment
EX001,Phenylalanine,N[C@@H](Cc1ccccc1)C(=O)O,7.4,0,pKaHub-derived curated label,2.2;9.2,carboxylic_acid;aliphatic_amine,amino acid,zwitterionic ligand — charge balance test,TRUE,NH3+ and COO- cancel; net charge 0
EX002,Ibuprofen,CC(C)Cc1ccc(CC(C)C(=O)O)cc1,7.4,-1,pKaHub-derived curated label,4.91,carboxylic_acid,FDA drug / NSAID,carboxylic-acid drug — ionized at physiological pH,TRUE,single COOH; pKa=4.9; deprotonated at pH 7.4
EX003,Imidazole,C1=CN=CN1,7.4,0,pKaHub-derived curated label,6.99;14.0,pyridine_like_base;imidazole_NH_acid,heterocycle fragment,imidazole ring common in histidine residues and drugs,TRUE,base pKa=6.99; N-H acid pKa=14; neutral at pH 7.4
EX004,Metformin,CN(C)C(=N)NC(=N)N,7.4,+1,pKaHub-derived curated label,11.5,guanidinium,FDA drug / biguanide,protonated drug form relevant for AMPK binding,TRUE,guanidinium pKaH=11.5; fully protonated at pH 7.4
EX005,Alendronic acid,NCCCP(=O)(O)P(=O)(O)O,7.4,-2,pKaHub-derived curated label,2.7;6.0;10.1;12.5,phosphonate1;phosphonate2;amine;phosphonate3,FDA drug / bisphosphonate,phosphate-containing ligand — highly charged docking partner,TRUE,dominant docking charge -2 from two phosphonate ionizations
EX006,Warfarin,CC(=O)CC1C(=O)c2ccccc2OC1c1ccccc1,7.4,-1,pKaHub-derived curated label,5.08,warfarin_enol_acid,FDA drug / anticoagulant,4-hydroxycoumarin enol active at coumarin binding site,TRUE,enol acid pKa=5.1; ionized at pH 7.4
EX007,Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,7.4,0,pKaHub-derived curated label,7.0;8.7;10.4,flavone_7OH;flavone_5OH;flavone_4OH_Bring,flavonoid natural product,flavonoid-like natural product — charge assignment critical for docking,TRUE,7-OH pKa~7.0-9.0 (literature range); neutral assigned conservatively
EX008,Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,7.4,0,pKaHub-derived curated label,6.1;8.7,carboxylic_acid;piperazine_base,FDA drug / fluoroquinolone,zwitterionic ligand — net charge 0 at physiological pH,TRUE,COOH pKa=6.1 and piperazine pKaH=8.7; zwitterion; net 0
EX009,Gefitinib,COc1cc2c(cc1OCCCN1CCOCC1)ncnc2Nc1ccc(F)c(Cl)c1,7.4,+1,pKaHub-derived curated label,5.3;8.0,quinazoline_base;morpholine_base,FDA drug / kinase inhibitor,kinase inhibitor protonated form — salt-bridge in ATP site,TRUE,morpholine pKaH=8.0; ~80% protonated at pH 7.4; charge +1
EX010,Saccharin,O=C1NS(=O)(=O)c2ccccc21,7.4,-1,pKaHub-derived curated label,1.6,sulfonamide_NH_acid,food additive / weak acid fragment,sulfonamide NH acid — fully ionized at physiological pH,TRUE,cyclic sulfonamide pKa=1.6; charge -1
