compound_id,compound_name,smiles,target_pH,expected_charge,predicted_charge,top_microstate_smiles,problem_type,chemical_reason,recommended_action,priority
FAIL_001,4-Nitrophenol,Oc1ccc([N+](=O)[O-])cc1,7.4,-1,0,Oc1ccc([N+](=O)[O-])cc1,wrong_acid_deprotonation,pKa=7.1; at pH 7.4 fraction deprotonated=56%; H-H scoring near borderline; pKaNET scores neutral,adjust_rule,high
FAIL_002,Histamine,NCCc1c[nH]cn1,7.4,+1,0,NCCc1c[nH]cn1,wrong_base_protonation,ethylamine pKaH=9.8 → protonated; imidazole base pKaH=6.0 → neutral; net +1 expected,adjust_rule,high
FAIL_003,Tautomer edge case,OC1=CC=NC=C1,7.4,0,-1,OC1=CC=NC=C1,tautomer_issue,pyridone vs hydroxypyridine tautomer ambiguity; pKaNET deprotonates wrong tautomer,check_pKa_source,medium
FAIL_004,Cysteine,N[C@@H](CS)C(=O)O,7.4,0,-1,N[C@@H](CS)C(=O)[O-],zwitterion_issue,at pH 7.4: NH3+ (pKaH=10.3) + COO- (pKa=1.9) + SH neutral (pKa=8.3); net 0; pKaNET gives -1,adjust_rule,high
FAIL_005,Baicalein (pre-fix),O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,7.4,0,-1,O=c1cc(-c2ccccc2)oc2cc([O-])c(O)c(O)c12,flavonoid_overdeprotonation,old pKa table: phenol_catechol_pair pKa=7.0 → deprotonated at pH 7.4; literature 7-OH pKa 8.0-9.5,adjust_rule,high
FAIL_006,Glyphosate,OC(=O)CNCP(=O)(O)O,7.4,-2,-3,O=C([O-])CNCP(=O)([O-])[O-],phosphate_charge_issue,pKaHub reference says -2; pKaNET -3 is chemically correct (COOH+P-OH1+P-OH2 all ionized); reference may reflect dominant binding form,check_pKa_source,medium
FAIL_007,Sulfanilamide,Nc1ccc(S(=O)(=O)N)cc1,7.4,0,+1,Nc1ccc(S(=O)(=O)N)cc1,sulfonamide_issue,aniline pKaH=4.6 → should be neutral; sulfonamide pKa=10.4 → neutral; pKaNET incorrectly protonates aniline,adjust_rule,medium
FAIL_008,Polyprotic complex,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,7.4,-2,-3,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,reference_ambiguous,"methotrexate: 2 COOH + pteridine NH (pKa~5-8, literature varies); pKaHub says -2 but pteridine ionization ambiguous",check_pKa_source,medium
FAIL_009,Unknown fragment,O=C1CC(=O)Nc2ccccc21,7.4,-1,0,O=C1CC(=O)Nc2ccccc21,other,isatoic anhydride-like; ring-opening possible; pKaNET does not detect ionization,manual_review,low
FAIL_010,Borderline pyridine drug,CCOC(=O)c1cnc2ccccc2c1N,7.4,+1,0,CCOC(=O)c1cnc2ccccc2c1N,wrong_base_protonation,aniline pKaH~4 neutral; pyridine pKaH~5 neutral; no basic amine above pH 7.4; expected 0 but charge driven by context in polyprotic molecule,no_change,low
